Device,Phase Reward,Recyclable Score,CO2 Emission Saved,Other Savings,CPU,Memory,Battery,Display,Keyboard,Plastics,Metals,Copper,Aluminum,Gold,Silver,Lead,Tin,Nickel,Zinc
UPS,33.87,1,8.83,6.49,,,45.0,,,11,45.0,4.73,1.26,1.4,0.14,0.0,0.66,4.7,0.0
Printer,30.72,0,1.87,1.82,,25.0,,,35.0,30,46.0,4.38,2.23,0.0,0.0,0.19,0.57,4.58,2.94
Fax Machine,70.63,0,2.46,8.01,,,,41.0,13.0,18,20.0,0.31,4.97,0.85,2.09,2.87,0.33,4.58,2.51
Other,24.88,1,3.01,10.94,,,,,,37,28.0,2.59,3.74,0.0,1.56,1.29,0.0,1.28,1.68
Camera,96.06,1,1.89,14.86,,26.0,,10.0,,50,42.0,0.0,0.0,0.27,0.0,2.54,0.0,0.0,1.03
Modem,55.27,1,0.32,4.39,14.0,30.0,,,,36,36.0,4.66,0.0,2.04,2.36,0.0,0.0,0.0,4.35
Set-top Box,46.56,0,6.73,5.59,44.0,48.0,,,,10,42.0,4.18,2.54,0.0,0.0,0.49,2.08,2.61,0.31
Mobile,59.02,0,4.84,4.47,36.0,21.0,36.0,16.0,,18,10.0,2.4,4.53,0.26,4.17,0.0,2.12,0.0,0.0
Set-top Box,87.64,1,2.14,4.04,26.0,18.0,,,,32,32.0,3.89,1.01,1.59,2.66,0.0,3.11,0.0,1.56
Accessories,34.11,1,6.37,11.56,,,,,,36,12.0,1.78,4.95,4.39,3.67,0.0,2.6,2.27,2.24
Printer,51.6,0,4.43,3.61,,39.0,,,14.0,18,23.0,0.8,0.0,1.28,2.03,0.86,1.5,2.48,3.69
Router,67.13,0,2.59,6.49,18.0,44.0,,,,40,22.0,4.08,2.58,0.0,4.29,0.52,3.18,0.37,0.0
Other,85.75,0,4.25,5.78,,,,,,33,41.0,0.29,2.1,0.0,0.0,0.0,0.0,2.06,0.31
Washing Machine,81.76,0,3.71,12.33,,,,,,32,24.0,0.0,0.0,0.09,2.05,0.88,0.0,1.57,0.0
Server,82.22,0,2.93,13.25,20.0,33.0,,,,31,17.0,3.98,0.0,0.0,0.0,0.0,1.94,0.4,0.0
Washing Machine,80.17,1,9.42,0.25,,,,,,45,42.0,0.0,0.0,3.19,3.34,3.94,0.95,4.67,4.74
Other,78.64,1,4.22,6.75,,,,,,23,50.0,3.29,0.64,1.11,0.0,0.0,1.25,3.09,1.49
Hard Drive,27.28,1,6.41,7.44,,44.0,,,,32,19.0,0.0,4.75,3.5,3.76,2.03,0.0,0.7,1.78
Camera,23.67,1,0.9,13.54,,12.0,,41.0,,13,20.0,0.12,1.3,1.17,3.72,1.21,0.94,4.33,1.02
Accessories,47.82,1,0.2,1.12,,,,,,33,11.0,2.24,1.12,0.0,0.55,0.75,0.88,3.84,0.0
Mobile,53.75,0,8.03,7.5,31.0,39.0,18.0,46.0,,27,39.0,4.51,0.0,0.0,0.0,0.0,1.88,0.0,0.12
Camera,79.22,0,7.5,11.79,,28.0,,15.0,,22,18.0,3.99,1.89,4.45,0.0,2.78,4.78,3.94,4.77
Coffee Machine,59.32,1,3.16,7.65,,,,,,15,23.0,2.2,0.0,0.0,1.28,3.85,0.0,4.22,0.0
Mobile,54.42,1,0.49,2.1,39.0,44.0,32.0,13.0,,34,26.0,0.0,2.14,0.01,4.52,1.32,1.08,0.0,1.51
Microwave,51.6,0,0.85,11.76,,,,,,15,40.0,0.0,0.61,0.0,2.1,2.51,0.0,4.02,3.04
Router,51.03,0,8.0,12.39,50.0,14.0,,,,13,40.0,4.89,0.54,2.83,2.75,3.85,0.0,0.8,2.58
Scanner,86.86,0,8.89,8.82,,,,30.0,,27,43.0,1.24,2.17,0.61,0.0,3.28,3.93,0.0,1.59
Scanner,29.56,1,1.35,0.32,,,,24.0,,27,36.0,0.61,2.64,1.08,1.49,2.68,0.68,0.6,3.1
Television,34.77,1,7.18,13.63,,,,18.0,,39,36.0,2.84,2.1,0.58,2.31,0.0,0.0,2.35,4.23
Other,67.87,0,2.57,6.85,,,,,,33,16.0,2.4,0.7,0.0,3.89,0.0,0.0,2.61,2.29
Washing Machine,72.38,0,5.56,10.72,,,,,,37,18.0,0.06,0.71,1.4,2.82,3.95,0.0,1.92,2.98
Router,25.02,0,4.52,3.47,25.0,31.0,,,,29,17.0,0.0,4.86,0.0,4.21,3.46,2.37,0.0,1.64
Server,63.67,0,6.03,14.79,37.0,42.0,,,,36,43.0,4.47,2.6,0.64,0.0,3.78,3.63,0.0,0.53
Monitor,62.42,1,3.66,8.6,,,,45.0,,42,31.0,1.88,4.98,0.32,0.0,0.0,0.85,1.63,0.4
Modem,62.7,0,3.54,3.34,10.0,34.0,,,,36,25.0,2.14,0.0,4.54,4.35,0.0,4.64,0.0,3.13
Set-top Box,20.27,0,3.55,11.61,27.0,42.0,,,,20,26.0,1.48,2.5,4.59,3.89,0.0,4.07,2.89,0.0
Camera,83.7,1,3.73,2.82,,35.0,,15.0,,27,23.0,0.99,0.01,0.0,3.58,4.56,0.75,0.0,2.55
Other,71.86,0,8.33,4.79,,,,,,15,38.0,0.0,0.0,1.71,0.27,0.27,2.53,1.2,0.0
Microwave,71.34,0,8.88,3.33,,,,,,34,38.0,2.04,0.0,0.0,0.0,0.0,0.66,2.16,0.0
Set-top Box,22.03,0,6.17,1.51,33.0,35.0,,,,31,29.0,2.7,0.0,0.0,0.0,1.9,0.0,0.0,2.79
Smartwatch,31.93,1,9.18,10.51,49.0,49.0,36.0,20.0,,31,,0.99,0.53,4.93,0.0,2.12,1.84,0.0,2.66
Camera,97.4,1,0.21,13.15,,34.0,,30.0,,48,11.0,0.08,1.53,0.0,3.23,0.0,0.0,0.57,0.0
Hard Drive,99.65,1,1.81,4.22,,18.0,,,,40,49.0,0.0,0.36,0.39,3.24,1.98,3.43,0.0,0.34
Refrigerator,38.36,1,6.14,2.49,,,,,,16,10.0,0.0,0.0,0.0,3.18,0.0,0.9,0.0,0.0
Laptop,57.1,0,6.78,4.75,24.0,33.0,20.0,46.0,47.0,50,46.0,2.89,4.67,0.0,4.94,0.52,0.0,1.86,0.0
Modem,38.42,1,4.44,9.9,21.0,47.0,,,,44,30.0,3.33,0.8,4.03,0.0,4.29,4.99,2.73,3.41
Tablet,58.98,1,0.17,10.08,36.0,32.0,13.0,42.0,,19,21.0,0.22,1.87,4.04,0.0,0.0,1.81,0.0,3.16
UPS,76.41,1,8.96,6.5,,,49.0,,,10,40.0,0.0,0.0,3.27,0.0,0.0,4.48,0.0,2.19
Scanner,79.8,0,2.15,0.47,,,,31.0,,11,41.0,0.0,0.0,0.0,0.59,2.4,2.4,1.4,1.94
Desktop,66.45,0,5.61,11.51,30.0,28.0,,,27.0,34,26.0,0.5,0.0,4.63,2.54,4.25,1.93,0.0,0.0
Printer,57.06,0,6.82,9.16,,46.0,,,49.0,42,19.0,2.23,2.84,0.0,0.0,2.3,4.18,1.04,1.37
Hard Drive,52.93,1,2.47,10.05,,20.0,,,,21,26.0,4.31,4.0,0.46,0.14,2.87,4.22,0.0,2.33
Mobile,64.83,0,7.22,0.95,17.0,30.0,14.0,16.0,,14,39.0,0.0,1.71,0.0,4.9,4.17,0.7,1.39,4.06
Coffee Machine,38.78,0,7.57,7.41,,,,,,45,25.0,0.0,4.18,4.93,3.72,1.57,4.58,2.15,0.0
Projector,27.16,0,2.12,3.79,,,,14.0,,40,20.0,4.08,0.0,4.13,0.2,1.84,2.29,0.0,3.18
UPS,29.62,1,7.51,12.95,,,15.0,,,42,16.0,4.19,0.0,0.0,2.82,0.0,0.0,2.97,2.91
Projector,22.67,1,9.64,9.15,,,,44.0,,41,25.0,0.0,0.0,4.62,1.43,1.05,2.93,1.56,3.52
Mobile,65.1,0,5.6,2.89,35.0,49.0,45.0,34.0,,36,44.0,2.64,3.28,4.91,2.35,0.39,0.0,1.08,0.0
Accessories,26.4,1,6.09,6.54,,,,,,35,43.0,1.32,1.26,0.33,1.2,0.98,0.0,0.42,3.7
Modem,88.57,1,7.06,13.93,39.0,41.0,,,,34,36.0,3.88,0.0,2.42,0.64,2.39,0.74,0.0,1.01
Modem,89.96,0,1.03,13.6,16.0,33.0,,,,23,40.0,0.0,3.37,4.03,1.17,0.0,2.03,0.51,0.0
Mobile,24.69,1,0.38,6.48,36.0,29.0,23.0,17.0,,18,39.0,2.11,1.37,1.21,1.87,0.05,1.05,3.27,0.0
Printer,89.46,0,9.57,0.25,,11.0,,,30.0,42,43.0,0.0,2.85,1.09,0.0,2.23,0.25,3.36,1.1
Modem,91.82,1,0.16,1.83,39.0,13.0,,,,26,44.0,3.72,4.82,0.0,0.0,4.47,0.24,0.0,1.22
UPS,31.59,0,9.49,1.58,,,20.0,,,50,46.0,0.0,0.0,0.0,3.64,0.0,2.99,0.0,2.43
Washing Machine,33.62,1,5.53,10.29,,,,,,14,28.0,0.5,0.81,0.0,2.52,4.38,0.0,2.35,0.0
Projector,88.96,0,0.91,12.78,,,,25.0,,40,21.0,4.46,2.48,0.0,2.37,0.0,1.33,1.03,0.93
Printer,32.04,0,5.61,14.21,,42.0,,,50.0,37,29.0,4.23,3.46,0.0,3.22,2.96,4.39,1.94,0.0
Printer,96.15,0,7.41,3.45,,33.0,,,33.0,22,35.0,1.45,0.0,4.04,0.0,0.0,0.0,0.0,0.0
Desktop,58.21,1,7.92,4.97,40.0,26.0,,,47.0,46,19.0,3.24,0.0,0.42,3.73,1.48,2.54,0.0,0.0
Printer,21.64,0,9.05,13.64,,37.0,,,49.0,17,35.0,0.0,0.32,0.0,0.84,0.0,0.0,0.0,0.0
Accessories,53.24,0,2.33,1.36,,,,,,10,16.0,2.7,3.27,3.23,0.0,0.0,4.33,1.95,4.14
Monitor,95.67,0,4.86,6.09,,,,26.0,,30,40.0,4.69,2.87,2.47,3.19,0.0,2.74,1.17,3.99
Server,35.07,1,5.6,12.59,37.0,49.0,,,,10,11.0,0.0,0.0,0.0,0.0,0.0,0.55,2.65,4.51
Accessories,65.2,0,4.14,5.95,,,,,,24,46.0,4.8,1.58,2.45,3.17,0.0,0.0,1.26,0.43
Set-top Box,73.79,1,2.76,8.42,46.0,15.0,,,,34,12.0,1.75,0.0,0.1,4.36,3.23,0.99,2.5,3.83
Fax Machine,92.38,0,0.47,9.64,,,,33.0,14.0,33,19.0,0.0,2.34,4.39,2.98,3.07,2.86,3.1,2.19
Other,77.42,1,6.84,0.65,,,,,,19,12.0,0.45,3.71,0.4,0.0,0.0,0.0,0.92,0.26
Camera,51.41,1,2.93,13.03,,11.0,,26.0,,27,45.0,4.55,4.96,1.55,4.77,3.43,0.89,1.11,0.75
Set-top Box,77.84,0,5.77,10.5,16.0,42.0,,,,42,25.0,0.0,0.0,2.5,1.57,2.21,2.26,0.0,4.14
Accessories,71.94,1,9.4,4.22,,,,,,43,37.0,3.35,0.0,1.55,0.0,0.0,2.73,4.56,3.33
Projector,97.95,1,9.68,4.08,,,,20.0,,28,19.0,0.74,0.61,0.0,0.0,0.0,2.89,0.36,1.75
Refrigerator,52.27,0,1.83,0.53,,,,,,35,39.0,2.04,2.57,0.0,4.82,0.0,0.0,4.75,3.63
Desktop,76.23,0,5.47,6.77,41.0,21.0,,,25.0,11,43.0,4.0,3.94,0.24,0.8,4.41,3.39,0.0,3.38
Air Conditioner,89.88,0,0.44,0.32,,,,,,35,19.0,0.0,0.0,0.87,3.34,0.0,3.31,1.92,0.0
Camera,51.58,0,0.04,5.67,,43.0,,35.0,,36,46.0,0.0,4.87,4.69,4.36,3.82,1.97,0.0,2.24
Mobile,78.62,0,3.3,1.92,45.0,23.0,42.0,20.0,,35,12.0,0.0,3.26,2.5,0.34,0.28,1.35,3.96,0.37
Printer,75.7,0,2.19,2.35,,29.0,,,13.0,20,50.0,0.0,0.0,0.0,0.46,0.62,4.58,2.0,0.0
Coffee Machine,43.62,1,3.77,8.44,,,,,,36,36.0,0.46,1.36,4.26,1.86,4.73,0.0,0.0,3.6
Server,43.04,1,8.97,10.15,11.0,17.0,,,,27,29.0,2.48,0.0,1.44,2.34,4.09,3.59,0.0,0.18
Camera,23.11,0,5.11,6.74,,42.0,,10.0,,50,29.0,0.68,1.66,2.99,0.0,4.34,0.0,0.0,0.82
Refrigerator,76.15,1,5.49,14.33,,,,,,31,10.0,3.31,0.72,0.0,1.58,2.11,0.0,1.32,0.0
Printer,98.53,1,8.79,3.64,,25.0,,,29.0,16,22.0,3.51,4.35,1.22,0.0,1.47,0.0,0.0,3.17
Laptop,64.04,0,1.78,13.21,38.0,16.0,39.0,16.0,49.0,32,10.0,1.99,4.21,4.99,0.23,0.0,1.28,0.0,3.62
Coffee Machine,33.9,0,3.64,3.05,,,,,,22,42.0,3.72,0.0,4.52,4.08,4.59,1.79,0.0,0.89
Microwave,72.93,0,7.69,4.71,,,,,,46,18.0,0.08,3.08,4.81,3.42,0.0,0.1,0.0,4.55
Other,39.46,1,6.09,2.93,,,,,,45,11.0,0.0,0.0,0.18,4.51,4.24,0.0,0.0,3.2
Monitor,29.87,0,5.65,7.81,,,,44.0,,27,17.0,0.0,4.92,0.82,3.44,3.64,3.41,4.98,2.22
Microwave,90.99,0,2.56,6.05,,,,,,50,39.0,4.84,0.0,1.91,2.17,0.57,2.54,4.4,0.0
Monitor,63.53,1,8.19,8.52,,,,49.0,,10,24.0,0.0,0.55,0.0,4.47,0.0,0.0,1.71,1.23
Laptop,30.46,0,7.83,10.93,26.0,14.0,43.0,41.0,37.0,19,17.0,0.19,1.66,4.33,4.35,4.35,2.58,0.67,0.0
UPS,41.78,0,4.82,6.04,,,17.0,,,24,19.0,0.0,2.35,2.94,0.0,0.21,2.3,0.0,0.0
Accessories,60.43,0,8.17,3.53,,,,,,15,31.0,4.31,0.0,4.51,0.0,2.37,2.15,2.36,4.24
Laptop,93.37,1,6.37,14.44,16.0,38.0,24.0,25.0,45.0,47,43.0,0.0,0.0,0.12,0.54,0.57,2.43,0.0,0.31
Monitor,62.1,1,5.47,8.98,,,,50.0,,47,40.0,1.06,0.0,0.0,0.0,4.9,0.0,0.0,2.05
UPS,49.48,1,7.35,12.42,,,41.0,,,25,16.0,1.5,0.0,3.62,3.58,1.44,4.34,2.17,0.0
Television,45.09,0,0.8,9.37,,,,15.0,,34,13.0,1.29,1.78,0.04,3.29,3.76,2.67,0.0,3.86
Smartwatch,40.25,0,5.0,4.56,13.0,42.0,33.0,37.0,,39,,4.5,0.0,2.31,0.0,0.0,0.58,0.0,2.51
Smartwatch,94.32,0,4.73,13.75,31.0,33.0,14.0,47.0,,12,,0.14,0.0,0.0,3.51,4.2,1.08,2.78,4.58
Hard Drive,41.3,1,9.19,4.5,,32.0,,,,18,47.0,2.27,1.75,3.09,4.83,1.3,1.78,4.18,1.49
Fax Machine,59.63,0,9.79,4.84,,,,35.0,14.0,44,22.0,0.0,0.9,1.33,2.33,0.0,4.41,3.72,1.99
Projector,94.99,0,5.1,9.21,,,,33.0,,14,46.0,2.83,0.0,3.36,0.0,0.22,3.02,3.95,4.87
Scanner,46.14,0,1.28,13.03,,,,47.0,,17,45.0,0.0,2.37,1.22,2.27,0.11,0.0,3.31,3.11
Desktop,73.93,1,3.06,14.0,12.0,11.0,,,27.0,24,22.0,3.13,0.0,3.4,0.0,4.27,4.72,0.0,4.84
Coffee Machine,36.5,0,2.33,9.63,,,,,,16,14.0,1.41,3.48,4.65,3.93,3.34,3.01,0.12,1.15
Tablet,50.98,1,0.03,4.97,31.0,13.0,10.0,33.0,,14,50.0,0.89,0.32,0.0,0.0,0.76,0.0,2.35,0.0
Coffee Machine,59.63,0,1.21,0.43,,,,,,33,41.0,4.23,3.77,1.98,0.0,2.93,3.22,0.0,2.36
Coffee Machine,20.04,1,8.34,10.54,,,,,,50,27.0,0.08,0.0,3.76,0.98,2.74,0.0,0.0,2.28
Tablet,93.84,1,7.35,11.3,40.0,48.0,39.0,10.0,,25,26.0,2.83,4.76,3.48,4.9,4.17,0.0,4.06,0.0
Mobile,88.55,0,7.0,11.43,28.0,49.0,50.0,34.0,,24,49.0,3.61,2.51,4.27,0.14,0.13,3.9,0.0,3.74
Desktop,25.65,0,0.61,13.78,36.0,14.0,,,36.0,50,13.0,3.51,1.55,4.65,0.24,0.66,0.76,0.0,0.0
Tablet,67.2,0,6.14,3.05,19.0,50.0,20.0,48.0,,44,19.0,0.79,0.75,3.83,0.0,0.0,4.36,2.87,0.0
Fax Machine,60.03,0,5.34,1.72,,,,37.0,14.0,36,11.0,3.81,0.0,0.0,2.43,3.93,1.84,0.0,2.43
Game Console,56.29,0,9.17,4.65,36.0,18.0,,38.0,,45,23.0,2.44,0.0,3.95,2.14,4.76,0.0,0.0,4.93
Router,63.22,1,5.12,12.19,34.0,40.0,,,,43,18.0,0.0,4.61,3.65,2.79,3.59,0.84,1.87,1.97
Laptop,97.87,0,9.24,13.22,11.0,21.0,20.0,34.0,50.0,50,37.0,0.0,0.0,0.0,1.17,0.0,0.34,0.0,1.37
Other,99.9,1,6.83,0.09,,,,,,12,24.0,0.0,4.71,3.97,0.04,1.13,0.25,0.0,3.38
UPS,49.54,0,7.12,12.78,,,15.0,,,47,26.0,3.89,0.0,0.82,4.55,4.71,0.19,1.03,0.0
Modem,55.42,1,6.43,9.66,16.0,48.0,,,,32,17.0,0.0,1.0,0.48,3.76,4.49,1.14,0.0,3.47
Other,42.56,0,7.43,14.63,,,,,,38,40.0,0.58,4.8,4.55,2.14,1.1,1.88,4.16,0.0
Set-top Box,60.17,0,0.43,9.17,44.0,23.0,,,,13,24.0,3.14,0.0,3.02,0.23,3.36,3.28,0.0,0.0
Tablet,74.63,1,0.74,13.35,48.0,17.0,48.0,49.0,,29,36.0,3.31,0.0,2.99,4.82,2.2,0.0,0.0,0.0
Camera,70.97,1,1.11,9.37,,34.0,,47.0,,11,48.0,0.0,1.42,0.0,0.0,1.68,0.0,2.94,0.0
Coffee Machine,72.4,0,4.39,6.56,,,,,,33,16.0,0.0,3.61,3.87,3.77,2.01,1.05,1.29,1.44
Printer,55.08,1,6.24,11.78,,24.0,,,48.0,42,16.0,4.08,3.16,0.0,0.0,3.17,0.15,1.13,0.27
Air Conditioner,54.02,0,3.51,10.2,,,,,,39,32.0,4.84,0.0,0.05,4.16,4.67,2.64,4.72,0.0
Desktop,99.08,0,2.73,6.48,19.0,40.0,,,21.0,44,28.0,0.0,1.53,0.64,0.72,1.47,3.9,4.02,1.58
Tablet,46.23,1,9.87,13.97,41.0,41.0,11.0,29.0,,31,48.0,0.41,0.0,0.0,4.72,0.0,3.15,3.29,1.44
Laptop,32.9,1,4.35,3.38,18.0,17.0,10.0,45.0,24.0,35,27.0,0.07,0.0,0.96,4.11,0.0,0.0,1.23,2.15
Modem,93.79,0,1.42,5.08,29.0,28.0,,,,16,25.0,0.0,0.13,2.72,0.0,2.57,0.34,0.4,0.0
Hard Drive,72.55,0,9.48,12.79,,17.0,,,,10,13.0,1.19,2.83,2.11,3.24,1.37,0.0,0.0,0.0
Server,29.01,0,5.76,8.63,15.0,13.0,,,,25,30.0,3.51,0.0,4.66,1.04,4.87,0.0,4.15,2.97
Modem,55.63,0,0.02,12.37,42.0,29.0,,,,50,20.0,0.0,0.0,2.17,3.46,3.54,4.91,0.0,0.99
Scanner,55.38,1,0.77,11.07,,,,32.0,,49,23.0,3.64,0.0,0.0,1.88,0.39,3.67,2.77,0.0
Router,98.06,0,1.83,3.77,26.0,27.0,,,,22,48.0,1.0,4.81,2.74,4.76,0.0,0.0,2.81,2.23
Mobile,98.05,1,8.42,7.05,19.0,12.0,36.0,13.0,,16,20.0,0.5,4.24,0.0,0.87,4.63,1.07,4.1,0.64
Washing Machine,48.93,0,7.22,12.03,,,,,,24,28.0,4.61,0.89,3.79,0.0,1.49,0.0,2.19,0.65
Set-top Box,68.62,1,9.58,1.09,35.0,45.0,,,,27,30.0,1.39,0.2,0.02,2.48,0.0,0.22,2.2,0.0
Set-top Box,29.21,0,0.27,2.47,50.0,26.0,,,,16,45.0,0.0,1.88,0.03,0.0,4.18,3.72,0.0,2.17
Desktop,57.59,1,5.67,12.63,38.0,17.0,,,44.0,45,43.0,0.0,0.0,0.07,0.0,1.07,4.06,2.95,0.0
Set-top Box,63.32,1,5.06,4.45,34.0,35.0,,,,36,32.0,0.33,0.0,0.0,1.94,4.13,0.88,0.0,0.0
Refrigerator,58.6,0,1.7,12.93,,,,,,23,29.0,1.98,1.17,3.21,4.13,1.4,1.38,0.0,0.0
Monitor,32.62,1,0.93,12.48,,,,27.0,,15,41.0,2.58,0.0,0.0,0.0,4.95,0.0,0.0,4.13
Printer,93.61,0,1.76,9.2,,40.0,,,25.0,23,10.0,1.64,0.0,1.81,0.8,2.74,2.04,4.04,3.01
Fax Machine,67.69,0,0.21,14.86,,,,39.0,44.0,28,47.0,4.88,3.83,0.0,0.0,0.0,0.69,4.32,0.0
Router,75.22,1,4.27,12.23,45.0,48.0,,,,24,37.0,0.0,0.0,1.87,3.54,0.0,1.66,3.12,0.0
Modem,87.39,0,7.13,6.39,25.0,16.0,,,,27,12.0,1.08,3.36,0.0,2.55,1.68,0.0,0.0,3.82
Other,49.04,1,2.52,5.86,,,,,,38,37.0,0.52,0.9,0.0,0.0,3.74,1.7,0.0,4.23
Microwave,40.13,1,6.49,4.5,,,,,,20,33.0,0.0,0.0,3.17,3.35,0.0,2.73,0.0,4.83
Tablet,66.33,1,3.98,1.09,23.0,29.0,16.0,21.0,,14,43.0,0.37,0.0,0.0,3.63,0.58,4.52,1.94,1.78
Mobile,70.01,0,6.0,2.14,25.0,32.0,47.0,24.0,,22,10.0,2.36,0.0,0.0,0.52,4.14,0.0,0.0,4.71
Air Conditioner,67.58,0,6.82,7.96,,,,,,15,30.0,0.0,0.59,0.0,2.76,1.1,3.82,0.11,0.0
Microwave,25.8,0,6.58,8.8,,,,,,43,32.0,0.3,0.0,3.24,0.0,2.84,1.71,3.96,0.0
Fax Machine,94.45,0,3.57,6.53,,,,40.0,20.0,14,48.0,0.0,0.44,0.0,0.69,3.61,0.0,0.0,1.85
Refrigerator,28.51,1,6.98,9.09,,,,,,17,14.0,3.55,0.0,0.0,3.08,4.44,3.65,3.92,1.27
Set-top Box,28.2,0,5.1,10.04,41.0,45.0,,,,24,39.0,0.16,3.23,2.83,4.29,0.0,0.0,1.26,1.82
Game Console,88.67,1,0.46,14.28,10.0,39.0,,39.0,,29,21.0,4.62,1.02,2.47,1.82,0.0,2.79,0.35,0.0
Game Console,68.21,0,3.79,4.8,41.0,40.0,,48.0,,30,45.0,1.26,4.15,4.93,2.34,3.65,0.0,0.0,3.34
Modem,79.18,1,2.4,4.15,29.0,47.0,,,,31,34.0,4.58,4.19,0.0,3.89,0.69,1.06,1.47,0.0
Microwave,67.86,1,4.78,13.33,,,,,,28,25.0,0.98,3.34,0.0,0.0,0.77,0.0,3.95,1.29
Microwave,44.83,1,5.88,4.13,,,,,,28,41.0,3.93,0.71,4.86,4.77,0.73,0.0,2.24,0.0
Laptop,75.94,1,3.11,12.0,30.0,16.0,31.0,40.0,13.0,35,27.0,0.0,2.05,0.43,0.09,0.0,0.32,4.0,3.33
Mobile,86.62,1,2.64,9.17,44.0,50.0,21.0,27.0,,28,19.0,0.12,2.31,0.0,4.59,4.49,0.03,0.0,0.0
UPS,39.79,0,9.73,5.75,,,28.0,,,17,16.0,2.1,0.21,1.88,3.76,3.59,2.54,0.5,0.25
Desktop,23.55,0,8.33,5.77,26.0,24.0,,,15.0,32,11.0,2.52,3.7,3.25,0.0,2.93,4.23,3.98,0.27
Hard Drive,84.39,0,1.05,1.33,,49.0,,,,14,24.0,0.0,3.51,3.26,2.28,0.0,1.66,3.52,0.0
Coffee Machine,84.29,1,7.54,4.37,,,,,,42,32.0,3.33,0.0,0.42,0.0,2.2,4.27,0.0,2.75
Camera,91.28,1,8.99,3.79,,13.0,,12.0,,19,48.0,0.0,4.65,1.11,3.03,4.9,0.36,1.92,3.8
Tablet,39.19,1,1.56,10.15,29.0,46.0,21.0,24.0,,41,50.0,0.63,0.0,3.99,3.1,2.25,3.08,0.98,0.54
Smartwatch,60.26,0,5.31,2.96,36.0,28.0,19.0,39.0,,20,,2.17,0.0,0.9,0.0,4.43,1.41,0.0,2.94
Accessories,91.26,1,6.91,8.42,,,,,,45,44.0,1.57,1.31,3.78,2.26,1.92,2.49,0.55,0.0
Router,65.93,0,8.1,6.18,14.0,32.0,,,,48,43.0,1.55,2.14,0.15,3.39,4.23,4.19,0.32,1.83
Monitor,39.81,1,6.39,4.0,,,,25.0,,37,33.0,3.52,3.8,3.03,0.0,3.61,0.0,4.0,4.0
Mobile,56.98,0,0.8,14.74,11.0,13.0,12.0,40.0,,36,44.0,0.0,1.07,0.0,1.53,0.36,0.9,0.0,0.0
Washing Machine,37.69,1,0.91,11.26,,,,,,11,10.0,3.75,0.0,2.46,0.0,1.91,4.83,0.0,1.46
Server,98.55,0,7.65,7.99,16.0,26.0,,,,33,45.0,0.0,0.0,2.21,1.23,2.0,0.44,0.08,0.0
Laptop,88.6,1,2.42,0.97,19.0,36.0,34.0,30.0,30.0,39,20.0,0.0,3.61,1.27,0.0,0.0,2.54,0.0,0.0
Microwave,84.79,1,0.66,6.23,,,,,,33,14.0,4.98,0.73,0.0,1.12,3.12,4.61,1.22,3.38
Air Conditioner,76.96,1,4.31,5.84,,,,,,18,32.0,3.58,0.0,1.08,3.15,4.56,2.31,0.0,0.0
Coffee Machine,93.08,1,5.55,4.12,,,,,,40,40.0,0.58,0.71,1.73,0.47,1.62,0.3,0.0,0.41
Mobile,88.4,1,7.51,0.2,26.0,12.0,13.0,47.0,,19,20.0,2.89,0.0,4.55,0.21,0.0,4.71,2.27,0.0
Other,76.92,1,1.11,14.79,,,,,,28,30.0,0.53,0.45,0.0,0.0,0.0,0.35,0.76,0.0
Monitor,24.97,1,6.52,7.11,,,,21.0,,50,35.0,0.29,1.25,1.05,3.37,2.66,0.0,0.0,2.21
Scanner,22.85,1,3.97,3.64,,,,48.0,,29,50.0,4.53,4.53,0.0,2.58,1.21,1.51,0.0,2.62
Projector,67.53,0,1.01,14.84,,,,16.0,,45,35.0,0.0,3.18,3.18,3.11,1.76,0.0,2.51,0.0
Coffee Machine,29.88,1,1.35,8.22,,,,,,44,36.0,3.53,0.0,0.0,0.0,0.0,1.69,4.91,0.24
Modem,38.73,1,7.45,14.95,48.0,38.0,,,,18,23.0,4.61,0.0,0.0,3.04,1.75,3.45,0.0,0.0
Camera,98.59,0,4.05,10.31,,32.0,,14.0,,27,23.0,2.35,0.15,4.11,0.84,0.0,0.99,0.0,0.28
Game Console,57.31,0,6.28,8.13,42.0,30.0,,26.0,,10,14.0,1.19,0.0,4.56,1.71,1.66,3.66,0.0,3.58
Laptop,53.69,0,1.51,13.42,41.0,16.0,38.0,24.0,28.0,34,17.0,0.0,0.0,2.22,0.0,0.69,2.53,1.39,2.47
Other,50.42,1,9.27,9.22,,,,,,43,30.0,1.99,0.35,0.97,1.98,2.94,0.0,0.23,0.0
Refrigerator,51.62,1,6.44,10.27,,,,,,22,15.0,0.0,4.39,1.44,3.46,1.05,3.1,3.43,4.84
Desktop,25.95,1,4.41,3.06,39.0,14.0,,,21.0,30,33.0,3.18,2.73,3.62,0.67,4.8,0.0,4.36,0.0
Set-top Box,57.97,1,5.75,12.6,30.0,11.0,,,,26,19.0,0.78,0.22,0.0,3.47,0.0,0.0,2.06,3.58
Hard Drive,71.88,1,4.71,6.25,,28.0,,,,11,34.0,3.91,0.0,2.68,0.0,2.56,4.75,4.09,2.95
Projector,34.04,0,8.97,3.49,,,,33.0,,26,46.0,3.44,2.61,3.58,4.21,3.47,0.0,1.2,4.39
